sku_id,forecast_week,forecast_demand
SKU00001,2026-01-05,18.793132625974753
SKU00002,2026-01-05,111.86582301355266
SKU00003,2026-01-05,7.899099226907934
SKU00004,2026-01-05,12.87872691352645
SKU00005,2026-01-05,10.592318296102231
SKU00006,2026-01-05,11.55552469849326
SKU00007,2026-01-05,21.178058032974796
SKU00008,2026-01-05,8.911165937483206
SKU00009,2026-01-05,8.393565553443416
SKU00010,2026-01-05,7.812086121110818
SKU00011,2026-01-05,7.899099226907934
SKU00012,2026-01-05,7.899099226907934
SKU00013,2026-01-05,15.638049180318786
SKU00014,2026-01-05,7.812086121110818
SKU00015,2026-01-05,14.327530717205205
SKU00016,2026-01-05,37.42708211714357
SKU00017,2026-01-05,8.777892551914098
SKU00018,2026-01-05,7.899099226907934
SKU00019,2026-01-05,26.119365941022785
SKU00020,2026-01-05,59.31787347516286
SKU00021,2026-01-05,7.577604148370747
SKU00022,2026-01-05,7.899099226907934
SKU00023,2026-01-05,11.371047684062658
SKU00024,2026-01-05,8.480578659240532
SKU00025,2026-01-05,8.144161449691834
SKU00026,2026-01-05,8.624068504346933
SKU00027,2026-01-05,19.73407793085471
SKU00028,2026-01-05,8.864905657711214
SKU00029,2026-01-05,15.831684117180284
SKU00030,2026-01-05,20.59277491243145
SKU00031,2026-01-05,8.21746607040552
SKU00032,2026-01-05,8.21746607040552
SKU00033,2026-01-05,10.95493950982202
SKU00034,2026-01-05,8.393565553443416
SKU00035,2026-01-05,8.911165937483206
SKU00036,2026-01-05,42.29223255907005
SKU00037,2026-01-05,8.393565553443416
SKU00038,2026-01-05,11.57588226412309
SKU00039,2026-01-05,11.371047684062658
SKU00040,2026-01-05,11.926286292269365
SKU00041,2026-01-05,8.5185919250593
SKU00042,2026-01-05,7.6646172541678625
SKU00043,2026-01-05,21.278540894594023
SKU00044,2026-01-05,8.745233769114192
SKU00045,2026-01-05,7.577604148370747
SKU00046,2026-01-05,9.877017039232344
SKU00047,2026-01-05,9.25290979523564
SKU00048,2026-01-05,19.73407793085471
SKU00049,2026-01-05,11.392944335966531
SKU00050,2026-01-05,56.1814373350696
SKU00051,2026-01-05,8.071664274238435
SKU00052,2026-01-05,8.144161449691834
SKU00053,2026-01-05,9.877017039232344
SKU00054,2026-01-05,9.25290979523564
SKU00055,2026-01-05,21.936792280097485
SKU00056,2026-01-05,11.408394516603408
SKU00057,2026-01-05,9.25290979523564
SKU00058,2026-01-05,7.683747404897534
SKU00059,2026-01-05,9.877017039232344
SKU00060,2026-01-05,22.93138967155231
SKU00061,2026-01-05,7.812086121110818
SKU00062,2026-01-05,81.54639018688025
SKU00063,2026-01-05,11.245696078738982
SKU00064,2026-01-05,7.77076051069465
SKU00065,2026-01-05,9.25290979523564
SKU00066,2026-01-05,7.604170761858791
SKU00067,2026-01-05,8.21746607040552
SKU00068,2026-01-05,15.311213145685906
SKU00069,2026-01-05,7.616229206963785
SKU00070,2026-01-05,8.864905657711214
SKU00071,2026-01-05,8.130452964608404
SKU00072,2026-01-05,8.393565553443416
SKU00073,2026-01-05,7.616229206963785
SKU00074,2026-01-05,11.55552469849326
SKU00075,2026-01-05,8.393565553443416
SKU00076,2026-01-05,24.595846521810657
SKU00077,2026-01-05,12.358255942032073
SKU00078,2026-01-05,8.130452964608404
SKU00079,2026-01-05,308.83778546863107
SKU00080,2026-01-05,8.777892551914098
SKU00081,2026-01-05,7.600823397947367
SKU00082,2026-01-05,11.408394516603408
SKU00083,2026-01-05,7.77076051069465
SKU00084,2026-01-05,7.812086121110818
SKU00085,2026-01-05,10.56694491996041
SKU00086,2026-01-05,11.24581415407668
SKU00087,2026-01-05,15.831684117180284
SKU00088,2026-01-05,12.78559469383912
SKU00089,2026-01-05,15.656778028869466
SKU00090,2026-01-05,7.77076051069465
SKU00091,2026-01-05,7.899099226907934
SKU00092,2026-01-05,45.033285388374736
